댓글,시간,년,월,일,시,d
구경하고 가요 ( ᵅั ᴈ ᵅั;)～♬,2019-02-06T15:10:05.000Z,2019,02,06,15,0
자주 놀러 올게요!,2019-02-06T15:10:05.000Z,2019,02,06,15,0
"안녕하세요~ 우연히 태그타고 놀러와서 구경했어요^^ 저는 이제 막 14개월에 들어선 장난꾸러기아들 키우는 육아맘이에요~ 선천적으로 호흡기쪽으로 약하게 태어나서 기관절개를 하고 있기에 다른 아이들과 조금은 다른 면이 있지만, 그래도 24시간 아주 한시도 가만있지 않으며 굴면서 참 잘 크고 있는 고마운 아들이죠^^ 그래서 요즘은 몸은 많이 힘들지만 그래도 감사히 지내고 있답니다~하지만... ㅋ 헬육아는 헬육아인거 같아요~ ㅋㅋ 대체 왜 그런말이 있나 했더니, 직접 경험을 해보고서야 아~ 이게 진짜 헬이구나..;;;;;; 하게 되었거든요..;;; 피드 구경하다가 육아며, 일상이며 자주 소통하고 지내고 싶은 마음에 살짝쿵 선팔과 댓글 흔적 남기고 가요~오늘 하루도 우리 화이팅해요^^ 자주 놀러올께요^^",2019-02-06T15:10:05.000Z,2019,02,06,15,0
안녕하세요~친하게지내자구요~^^,2019-02-06T15:10:05.000Z,2019,02,06,15,0
반가워요 소통해요^_^,2019-01-19T01:16:48.000Z,2019,01,19,01,1
이젠 만두도 직접 빗어보는건 어떨까? 😁,2019-01-19T01:16:48.000Z,2019,01,19,01,1
😘😘😘😘😘,2019-02-15T16:18:12.000Z,2019,02,15,16,0
와 ㅎㅎㅎ 1차에 2차 라니 ㅎㅎ 즐거우셧겟어용 ㅎㅎ,2019-02-15T16:18:12.000Z,2019,02,15,16,0
"🔒만두 먹고 투림하면 냠새 심하대,,‼️",2019-03-19T08:49:15.000Z,2019,03,19,08,0
🔒교양 옆자리 앉은 사람 표정 안 좋아ㅛ던 이유가,2019-03-19T08:49:15.000Z,2019,03,19,08,0
🔒이거얏네 메오나 😑,2019-03-19T08:49:15.000Z,2019,03,19,08,0
수원 수제마카롱전문점 mcaron 입니다. 반가워요.,2019-03-19T08:49:15.000Z,2019,03,19,08,0
...스튜 ㅠㅠ 맛나겟드앙... ㅋㅋㅋㅋ 요새 커피프렌즈보면서 스튜스튜 노래중이에여 ㅋㅋㅋ,2019-02-17T22:43:07.000Z,2019,02,17,22,1
좋은하루보내세요^^선팔하고가요!맞팔부탁드릴께요!,2019-05-15T10:22:48.000Z,2019,05,15,10,0
오늘 하루 잘 보내셨나요??? 드디어 곧 목요일이에요😢 얼른 주말 왔으면 좋겠네요ㅎㅎㅎ소통하며 지내요☺️,2019-05-15T10:22:48.000Z,2019,05,15,10,0
