댓글,시간,년,월,일,시,d
반가워요~^^우연히 들어왔다가 댓글남겨요~😄🤗,2019-05-12T12:27:39.000Z,2019,05,12,12,0
구경잘하고 갑니다. 친해져요 우리 맞팔 ㄱㄱ ^^,2019-05-12T12:27:39.000Z,2019,05,12,12,0
^^좋은하루보내세요 ~!,2019-03-07T17:33:00.000Z,2019,03,07,17,0
비비고는 항상👍,2019-03-07T17:33:00.000Z,2019,03,07,17,0
에어프라이기가 잘못했네 ㅋㅋㅋ,2019-03-07T17:33:00.000Z,2019,03,07,17,0
아니...저 비빔만두 탐납니다...저 비빔은 어찌 만드셨나요?? 레시피 공유부탁드려용...ㅠㅠ저는 저렇게 안되더라구요.....ㅠ,2019-03-07T17:33:00.000Z,2019,03,07,17,0
"What is in the triangle ones, is it fish?",2019-05-24T14:07:34.000Z,2019,05,24,14,0
좋은하루되세영 ^^ 잘보구갑니당,2019-05-24T14:07:34.000Z,2019,05,24,14,0
ㅂㅅㅂ,2019-05-24T14:07:34.000Z,2019,05,24,14,0
저도 이러다가 만두전이 되는 대 참사를 겪음요 ㅋㅋㅋㅋㅋ,2019-05-24T14:07:34.000Z,2019,05,24,14,0
😍😍😍😍😍,2019-05-24T14:07:34.000Z,2019,05,24,14,0
ㅋ 더 잘해드려~~^^,2019-01-08T20:10:45.000Z,2019,01,08,20,1
꼬막 진짜 맛나겠네,2019-01-08T20:10:45.000Z,2019,01,08,20,1
와우 이것도 에프로 돌렷어용??? 엄청 바삭해보임! 만두는 맛나게 안되던데 ㅜ,2019-05-02T03:14:33.000Z,2019,05,02,03,1
😊💛,2019-01-27T04:26:39.000Z,2019,01,27,04,1
에어프라이어 세계에 들어 오셨군요 🔥,2019-05-14T09:12:09.000Z,2019,05,14,09,0
맛은 어떤지요?,2019-05-14T09:12:09.000Z,2019,05,14,09,0
삼겹살 해먹어도 기름기 쫙뺀 또다른 맛이에요^^,2019-05-14T09:12:09.000Z,2019,05,14,09,0
비비고가 짱먹음,2019-05-14T09:12:09.000Z,2019,05,14,09,0
잘보고 선팔하고 갑니다^^!😸,2019-05-14T09:12:09.000Z,2019,05,14,09,0
에어프라이어에는 막창이 지대로입니다ㅋㅋ,2019-05-14T09:12:09.000Z,2019,05,14,09,0
에어프라이기는 뭘해도 대박입니다!👍,2019-05-14T09:12:09.000Z,2019,05,14,09,0
만두는 사랑입니다🥟,2019-02-26T13:30:37.000Z,2019,02,26,13,0
만두😤😤😤😤,2018-12-31T14:13:29.000Z,2018,12,31,14,0
오늘 하루도 좋은하루 보내세요 ^‿^❤,2018-12-31T14:13:29.000Z,2018,12,31,14,0
"자기전에 왜 전 이걸 봤을까요..🥟군침,,쓱 먹스타 소통하고 싶어서 선팔하고 갈게용🐾❤️",2019-03-03T15:04:09.000Z,2019,03,03,15,0
😍❤️😍,2019-03-03T15:04:09.000Z,2019,03,03,15,0
비비고 김치만두 정말 맛있죠👍👍👍🤤🤤🤤🤤🤤,2019-03-03T15:04:09.000Z,2019,03,03,15,0
선팔하고갈게요~ 맞팔부탁드립니다!,2019-06-12T10:08:27.000Z,2019,06,12,10,0
오늘도 화이팅이요^-^,2019-06-12T10:08:27.000Z,2019,06,12,10,0
안뇽하세요 좋아요 누르고갈게요 '◡' 소통하고지내요,2019-06-12T10:08:27.000Z,2019,06,12,10,0
흐아ㅏ아ㅏㅇ아아ㅏㅇ아아아ㅏ앙ㅇ,2019-06-12T10:08:27.000Z,2019,06,12,10,0
반가워요~자주소통해요~,2019-06-12T10:08:27.000Z,2019,06,12,10,0
@dinak00 @ladyazukacroft  have you tried this gyoza yet ?,2019-05-06T00:17:12.000Z,2019,05,06,00,1
간단한ㅋㅋㅋ 쌤이하는 간단한요리가 내가 큰맘먹고하는 유일한요리😭,2019-05-06T00:17:12.000Z,2019,05,06,00,1
#간식 #비빔면친구만두 #간식스타그램 #jmt #jmtgr #먹스타그램 #맛있다그램 #살찐다그램 #먹스타 #선팔맞팔 #비빔면 #팔도비빔면 #만두 #비비고왕교자,2019-04-01T07:03:42.000Z,2019,04,01,07,0
네넴띤이가??ㅋㅋㅋㅋ 비빔띤인줄ㅋㅋㅋㅋ,2019-04-01T07:03:42.000Z,2019,04,01,07,0
만두 도랏다..❤️,2019-04-01T07:03:42.000Z,2019,04,01,07,0
색깔은 진짜 매워보임ㅋㅋㅋㅋ,2019-04-01T07:03:42.000Z,2019,04,01,07,0
이밤에… 😰,2019-05-13T13:58:01.000Z,2019,05,13,13,0
아.... 먹고싶....🤧,2019-05-13T13:58:01.000Z,2019,05,13,13,0
감자전 맛나겟당 온니얌😍❤️,2019-04-18T12:40:57.000Z,2019,04,18,12,0
옴모나 옴모나... 만두 때깔좀 봐~~,2019-05-28T02:20:16.000Z,2019,05,28,02,1
